"Year","AUS","AUT","BEL","BGR","BLR","CAN","CHE","CYP","CZE","DEU","DNK","ESP","EST","FIN","FRA","GBR","GRC","HRV","HUN","IRL","ISL","ITA","JPN","KAZ","LIE","LTU","LUX","LVA","MCO","MLT","NLD","NOR","POL","PRT","ROU","RUS","SVK","SVN","SWE","TUR","UKR","USA","CHN","AFG","ARG","ARM","AZE","BGD","BRA","CHL","JAM","KOR","KSV","LBN","MDA","PRY","RWA","SAU","TGO","THA","TUN","TWN","UZB","KHM","FJI","GHA","MRT","SLE","CIV","BRN","TUV","PNG","GIN","AND","SGP","REU","GLP","GUF","MTQ","MYT"
1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USGS",,,,,,,,,,,,,,,,,,,,,,,,,"Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero"
1931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USGS",,,,,,,,,,,,,,,,,,,,,,,,,"Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero"
1932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USGS",,,,,,,,,,,,,,,,,,,,,,,,,"Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero"
1933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USGS",,,,,,,,,,,,,,,,,,,,,,,,,"Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero"
1934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USGS",,,,,,,,,,,,,,,,,,,,,,,,,"Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero"
1935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USGS",,,,,,,,,,,,,,,,,,,,,,,,,"Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero"
1936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USGS",,,,,,,,,,,,,,,,,,,,,,,,,"Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero"
1937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USGS",,,,,,,,,,,,,,,,,,,,,,,,,"Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero"
1938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USGS",,,,,,,,,,,,,,,,,,,,,,,,,"Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero"
1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USGS",,,,,,,,,,,,,,,,,,,,,,,,,"Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero"
1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USGS",,,,,,,,,,,,,,,,,,,,,,,,,"Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero"
1941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USGS",,,,,,,,,,,,,,,,,,,,,,,,,"Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero"
1942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USGS",,,,,,,,,,,,,,,,,,,,,,,,,"Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero"
1943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USGS",,,,,,,,,,,,,,,,,,,,,,,,,"Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero"
1944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USGS",,,,,,,,,,,,,,,,,,,,,,,,,"Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero"
1945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USGS",,,,,,,,,,,,,,,,,,,,,,,,,"Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero"
1946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USGS",,,,,,,,,,,,,,,,,,,,,,,,,"Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero"
1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USGS",,,,,,,,,,,,,,,,,,,,,,,,,"Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero"
1948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USGS",,,,,,,,,,,,,,,,,,,,,,,,,"Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero"
1949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USGS",,,,,,,,,,,,,,,,,,,,,,,,,"Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero"
1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USGS",,,,,,,,,,,,,,,,,,,,,,,,,"Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero"
1951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USGS",,,,,,,,,,,,,,,,,,,,,,,,,"Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero"
1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USGS",,,,,,,,,,,,,,,,,,,,,,,,,"Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero"
1953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USGS",,,,,,,,,,,,,,,,,,,,,,,,,"Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero"
