"Year","AUS","AUT","BEL","BGR","BLR","CAN","CHE","CYP","CZE","DEU","DNK","ESP","EST","FIN","FRA","GBR","GRC","HRV","HUN","IRL","ISL","ITA","JPN","KAZ","LIE","LTU","LUX","LVA","MCO","MLT","NLD","NOR","POL","PRT","ROU","RUS","SVK","SVN","SWE","TUR","UKR","USA","CHN","AFG","ARG","ARM","AZE","BGD","BRA","CHL","JAM","KOR","KSV","LBN","MDA","PRY","RWA","SAU","TGO","THA","TUN","TWN","UZB","KHM","FJI","GHA","MRT","SLE","CIV","BRN","TUV","PNG","GIN","AND","SGP","REU","GLP","GUF","MTQ","MYT"
1987,,,,,,,,,,,,,,,,,,,"CRF (hun-2023-crf-15apr23_AR5.zip)",,,,,,,,,,,,,,,,,,,"CRF (svn-2023-crf-12apr23-AR5.zip)",,,,"USGS",,,,,,,,,,,,,,,,,,,,,,,,,"Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero"
1988,,,,"CRF (bgr-2023-crf-12apr23-AR5.zip)",,,,,,,,,,,,,,,"CRF (hun-2023-crf-15apr23_AR5.zip)",,,,,,,,,,,,,,"CRF (pol-2023-crf-28mar23-ar5_0.zip)",,,,,"CRF (svn-2023-crf-12apr23-AR5.zip)",,,,"USGS",,,,,,,,,,,,,,,,,,,,,,,,,"Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero"
1989,,,,"CRF (bgr-2023-crf-12apr23-AR5.zip)",,,,,,,,,,,,,,,"CRF (hun-2023-crf-15apr23_AR5.zip)",,,,,,,,,,,,,,"CRF (pol-2023-crf-28mar23-ar5_0.zip)",,"CRF (rou-2023-crf-6apr23-AR5.zip)",,,"CRF (svn-2023-crf-12apr23-AR5.zip)",,,,"USGS",,,,,,,,,,,,,,,,,,,,,,,,,"Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero"
1990,"CRF (aus-2023-crt-13apr23.zip)","CRF (aut-2023-crf-13apr23-AR5.zip)","CRF (bel-2023-crf-14apr23_AR5.zip)","CRF (bgr-2023-crf-12apr23-AR5.zip)","CRF (blr-2023-crf-14apr23_AR4.zip)","CRF (can-2023-crf-14apr23_AR4.zip)","CRF (che-2023-crf-13apr23-AR5.zip)","CRF (cyp-2023-crf-12apr23-AR5.zip)","CRF (cze-2023-crf-26apr23_AR5.zip)","CRF (deu-2023-crf-26apr23_AR5.zip)","CRF (dnk-2023-crf-14apr23_AR5.zip)","CRF (esp-2023-crf-14apr23_AR5.zip)","CRF (est-2023-crf-13apr23-AR5.zip)","CRF (fin-2023-crf-12apr23-AR5.zip)","CRF (fra-2023-crf-25apr23_AR5.zip)","CRF (gbr-2023-crf-14apr23_AR5.zip)","CRF (grc-2023-crf-13apr23_AR5.zip)","CRF (hrv-2023-crf-13apr23-AR5.zip)","CRF (hun-2023-crf-15apr23_AR5.zip)","CRF (irl-2023-crf-14apr23_AR5.zip)","CRF (isl-2023-crf-15apr23_AR5.zip)","CRF (ita-2023-crf-12apr23-AR5.zip)","CRF (jpn-2023-crf-20apr23-AR4.zip)","CRF (kaz-2023-crf-15apr23_AR4.zip)","CRF (lie-2023-crf-13apr23-AR5.zip)","CRF (ltu-2023-crf-5apr23-AR5.zip)","CRF (lux-2023-crf-13apr23-AR5.zip)","CRF (lva-2023-crf-12apr23-AR5.zip)","CRF (mco-2023-crf-11apr23-AR5.zip)","CRF (mlt-2023-crf-30mar23_AR5.zip)","CRF (nld-2023-crf-14apr23_AR5.zip)","CRF (nor-2023-crf-15mar23-ar5.zip)","CRF (pol-2023-crf-28mar23-ar5_0.zip)","CRF (prt-2023-crf-3apr23_AR5.zip)","CRF (rou-2023-crf-6apr23-AR5.zip)","CRF (rus-2023-crf-29may23-AR4.zip)","CRF (svk-2023-crf-13apr23_AR5.zip)","CRF (svn-2023-crf-12apr23-AR5.zip)","CRF (swe-2023-crf-6apr23-AR5.zip)","CRF (tur-2023-crf-14apr23_AR4.zip)","CRF (ukr-2023-crf-18may23-AR4.zip)","CRF (usa-2023-crf-14apr23_AR5.zip)","China","pp338-9 of NIR1",,"pp47-48 of NIR3 combined with NIR2010 and NIR2012",,,,"p179-180 of BUR4",,,,,"p184 of NIR2",,,,,"Thailand_cement_data.xlsx",,"p4-8 of NIR2020","Derived from p63 of NC3",,,,"Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero"
1991,"CRF (aus-2023-crt-13apr23.zip)","CRF (aut-2023-crf-13apr23-AR5.zip)","CRF (bel-2023-crf-14apr23_AR5.zip)","CRF (bgr-2023-crf-12apr23-AR5.zip)","CRF (blr-2023-crf-14apr23_AR4.zip)","CRF (can-2023-crf-14apr23_AR4.zip)","CRF (che-2023-crf-13apr23-AR5.zip)","CRF (cyp-2023-crf-12apr23-AR5.zip)","CRF (cze-2023-crf-26apr23_AR5.zip)","CRF (deu-2023-crf-26apr23_AR5.zip)","CRF (dnk-2023-crf-14apr23_AR5.zip)","CRF (esp-2023-crf-14apr23_AR5.zip)","CRF (est-2023-crf-13apr23-AR5.zip)","CRF (fin-2023-crf-12apr23-AR5.zip)","CRF (fra-2023-crf-25apr23_AR5.zip)","CRF (gbr-2023-crf-14apr23_AR5.zip)","CRF (grc-2023-crf-13apr23_AR5.zip)","CRF (hrv-2023-crf-13apr23-AR5.zip)","CRF (hun-2023-crf-15apr23_AR5.zip)","CRF (irl-2023-crf-14apr23_AR5.zip)","CRF (isl-2023-crf-15apr23_AR5.zip)","CRF (ita-2023-crf-12apr23-AR5.zip)","CRF (jpn-2023-crf-20apr23-AR4.zip)","CRF (kaz-2023-crf-15apr23_AR4.zip)","CRF (lie-2023-crf-13apr23-AR5.zip)","CRF (ltu-2023-crf-5apr23-AR5.zip)","CRF (lux-2023-crf-13apr23-AR5.zip)","CRF (lva-2023-crf-12apr23-AR5.zip)","CRF (mco-2023-crf-11apr23-AR5.zip)","CRF (mlt-2023-crf-30mar23_AR5.zip)","CRF (nld-2023-crf-14apr23_AR5.zip)","CRF (nor-2023-crf-15mar23-ar5.zip)","CRF (pol-2023-crf-28mar23-ar5_0.zip)","CRF (prt-2023-crf-3apr23_AR5.zip)","CRF (rou-2023-crf-6apr23-AR5.zip)","CRF (rus-2023-crf-29may23-AR4.zip)","CRF (svk-2023-crf-13apr23_AR5.zip)","CRF (svn-2023-crf-12apr23-AR5.zip)","CRF (swe-2023-crf-6apr23-AR5.zip)","CRF (tur-2023-crf-14apr23_AR4.zip)","CRF (ukr-2023-crf-18may23-AR4.zip)","CRF (usa-2023-crf-14apr23_AR5.zip)","China","pp338-9 of NIR1",,"pp47-48 of NIR3 combined with NIR2010 and NIR2012",,,,"p179-180 of BUR4",,"Korean Cement Association",,,"p184 of NIR2",,,,,"Thailand_cement_data.xlsx",,"p4-8 of NIR2020","Derived from p63 of NC3",,,,"Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero"
1992,"CRF (aus-2023-crt-13apr23.zip)","CRF (aut-2023-crf-13apr23-AR5.zip)","CRF (bel-2023-crf-14apr23_AR5.zip)","CRF (bgr-2023-crf-12apr23-AR5.zip)","CRF (blr-2023-crf-14apr23_AR4.zip)","CRF (can-2023-crf-14apr23_AR4.zip)","CRF (che-2023-crf-13apr23-AR5.zip)","CRF (cyp-2023-crf-12apr23-AR5.zip)","CRF (cze-2023-crf-26apr23_AR5.zip)","CRF (deu-2023-crf-26apr23_AR5.zip)","CRF (dnk-2023-crf-14apr23_AR5.zip)","CRF (esp-2023-crf-14apr23_AR5.zip)","CRF (est-2023-crf-13apr23-AR5.zip)","CRF (fin-2023-crf-12apr23-AR5.zip)","CRF (fra-2023-crf-25apr23_AR5.zip)","CRF (gbr-2023-crf-14apr23_AR5.zip)","CRF (grc-2023-crf-13apr23_AR5.zip)","CRF (hrv-2023-crf-13apr23-AR5.zip)","CRF (hun-2023-crf-15apr23_AR5.zip)","CRF (irl-2023-crf-14apr23_AR5.zip)","CRF (isl-2023-crf-15apr23_AR5.zip)","CRF (ita-2023-crf-12apr23-AR5.zip)","CRF (jpn-2023-crf-20apr23-AR4.zip)","CRF (kaz-2023-crf-15apr23_AR4.zip)","CRF (lie-2023-crf-13apr23-AR5.zip)","CRF (ltu-2023-crf-5apr23-AR5.zip)","CRF (lux-2023-crf-13apr23-AR5.zip)","CRF (lva-2023-crf-12apr23-AR5.zip)","CRF (mco-2023-crf-11apr23-AR5.zip)","CRF (mlt-2023-crf-30mar23_AR5.zip)","CRF (nld-2023-crf-14apr23_AR5.zip)","CRF (nor-2023-crf-15mar23-ar5.zip)","CRF (pol-2023-crf-28mar23-ar5_0.zip)","CRF (prt-2023-crf-3apr23_AR5.zip)","CRF (rou-2023-crf-6apr23-AR5.zip)","CRF (rus-2023-crf-29may23-AR4.zip)","CRF (svk-2023-crf-13apr23_AR5.zip)","CRF (svn-2023-crf-12apr23-AR5.zip)","CRF (swe-2023-crf-6apr23-AR5.zip)","CRF (tur-2023-crf-14apr23_AR4.zip)","CRF (ukr-2023-crf-18may23-AR4.zip)","CRF (usa-2023-crf-14apr23_AR5.zip)","China","pp338-9 of NIR1",,"pp47-48 of NIR3 combined with NIR2010 and NIR2012",,,,"p179-180 of BUR4",,"Korean Cement Association",,,"p184 of NIR2",,,,,"Thailand_cement_data.xlsx",,"p4-8 of NIR2020","Derived from p63 of NC3",,,,"Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero"
1993,"CRF (aus-2023-crt-13apr23.zip)","CRF (aut-2023-crf-13apr23-AR5.zip)","CRF (bel-2023-crf-14apr23_AR5.zip)","CRF (bgr-2023-crf-12apr23-AR5.zip)","CRF (blr-2023-crf-14apr23_AR4.zip)","CRF (can-2023-crf-14apr23_AR4.zip)","CRF (che-2023-crf-13apr23-AR5.zip)","CRF (cyp-2023-crf-12apr23-AR5.zip)","CRF (cze-2023-crf-26apr23_AR5.zip)","CRF (deu-2023-crf-26apr23_AR5.zip)","CRF (dnk-2023-crf-14apr23_AR5.zip)","CRF (esp-2023-crf-14apr23_AR5.zip)","CRF (est-2023-crf-13apr23-AR5.zip)","CRF (fin-2023-crf-12apr23-AR5.zip)","CRF (fra-2023-crf-25apr23_AR5.zip)","CRF (gbr-2023-crf-14apr23_AR5.zip)","CRF (grc-2023-crf-13apr23_AR5.zip)","CRF (hrv-2023-crf-13apr23-AR5.zip)","CRF (hun-2023-crf-15apr23_AR5.zip)","CRF (irl-2023-crf-14apr23_AR5.zip)","CRF (isl-2023-crf-15apr23_AR5.zip)","CRF (ita-2023-crf-12apr23-AR5.zip)","CRF (jpn-2023-crf-20apr23-AR4.zip)","CRF (kaz-2023-crf-15apr23_AR4.zip)","CRF (lie-2023-crf-13apr23-AR5.zip)","CRF (ltu-2023-crf-5apr23-AR5.zip)","CRF (lux-2023-crf-13apr23-AR5.zip)","CRF (lva-2023-crf-12apr23-AR5.zip)","CRF (mco-2023-crf-11apr23-AR5.zip)","CRF (mlt-2023-crf-30mar23_AR5.zip)","CRF (nld-2023-crf-14apr23_AR5.zip)","CRF (nor-2023-crf-15mar23-ar5.zip)","CRF (pol-2023-crf-28mar23-ar5_0.zip)","CRF (prt-2023-crf-3apr23_AR5.zip)","CRF (rou-2023-crf-6apr23-AR5.zip)","CRF (rus-2023-crf-29may23-AR4.zip)","CRF (svk-2023-crf-13apr23_AR5.zip)","CRF (svn-2023-crf-12apr23-AR5.zip)","CRF (swe-2023-crf-6apr23-AR5.zip)","CRF (tur-2023-crf-14apr23_AR4.zip)","CRF (ukr-2023-crf-18may23-AR4.zip)","CRF (usa-2023-crf-14apr23_AR5.zip)","China","pp338-9 of NIR1",,"pp47-48 of NIR3 combined with NIR2010 and NIR2012",,,,"p179-180 of BUR4",,"Korean Cement Association",,,"p184 of NIR2",,,,,"Thailand_cement_data.xlsx",,"p4-8 of NIR2020","Derived from p63 of NC3",,,,"Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero"
1994,"CRF (aus-2023-crt-13apr23.zip)","CRF (aut-2023-crf-13apr23-AR5.zip)","CRF (bel-2023-crf-14apr23_AR5.zip)","CRF (bgr-2023-crf-12apr23-AR5.zip)","CRF (blr-2023-crf-14apr23_AR4.zip)","CRF (can-2023-crf-14apr23_AR4.zip)","CRF (che-2023-crf-13apr23-AR5.zip)","CRF (cyp-2023-crf-12apr23-AR5.zip)","CRF (cze-2023-crf-26apr23_AR5.zip)","CRF (deu-2023-crf-26apr23_AR5.zip)","CRF (dnk-2023-crf-14apr23_AR5.zip)","CRF (esp-2023-crf-14apr23_AR5.zip)","CRF (est-2023-crf-13apr23-AR5.zip)","CRF (fin-2023-crf-12apr23-AR5.zip)","CRF (fra-2023-crf-25apr23_AR5.zip)","CRF (gbr-2023-crf-14apr23_AR5.zip)","CRF (grc-2023-crf-13apr23_AR5.zip)","CRF (hrv-2023-crf-13apr23-AR5.zip)","CRF (hun-2023-crf-15apr23_AR5.zip)","CRF (irl-2023-crf-14apr23_AR5.zip)","CRF (isl-2023-crf-15apr23_AR5.zip)","CRF (ita-2023-crf-12apr23-AR5.zip)","CRF (jpn-2023-crf-20apr23-AR4.zip)","CRF (kaz-2023-crf-15apr23_AR4.zip)","CRF (lie-2023-crf-13apr23-AR5.zip)","CRF (ltu-2023-crf-5apr23-AR5.zip)","CRF (lux-2023-crf-13apr23-AR5.zip)","CRF (lva-2023-crf-12apr23-AR5.zip)","CRF (mco-2023-crf-11apr23-AR5.zip)","CRF (mlt-2023-crf-30mar23_AR5.zip)","CRF (nld-2023-crf-14apr23_AR5.zip)","CRF (nor-2023-crf-15mar23-ar5.zip)","CRF (pol-2023-crf-28mar23-ar5_0.zip)","CRF (prt-2023-crf-3apr23_AR5.zip)","CRF (rou-2023-crf-6apr23-AR5.zip)","CRF (rus-2023-crf-29may23-AR4.zip)","CRF (svk-2023-crf-13apr23_AR5.zip)","CRF (svn-2023-crf-12apr23-AR5.zip)","CRF (swe-2023-crf-6apr23-AR5.zip)","CRF (tur-2023-crf-14apr23_AR4.zip)","CRF (ukr-2023-crf-18may23-AR4.zip)","CRF (usa-2023-crf-14apr23_AR5.zip)","China","pp338-9 of NIR1",,"pp47-48 of NIR3 combined with NIR2010 and NIR2012",,,,"p179-180 of BUR4",,"Korean Cement Association",,"p29 of BUR2","p184 of NIR2",,,,,"Thailand_cement_data.xlsx",,"p4-8 of NIR2020","Derived from p63 of NC3",,,,"Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero"
1995,"CRF (aus-2023-crt-13apr23.zip)","CRF (aut-2023-crf-13apr23-AR5.zip)","CRF (bel-2023-crf-14apr23_AR5.zip)","CRF (bgr-2023-crf-12apr23-AR5.zip)","CRF (blr-2023-crf-14apr23_AR4.zip)","CRF (can-2023-crf-14apr23_AR4.zip)","CRF (che-2023-crf-13apr23-AR5.zip)","CRF (cyp-2023-crf-12apr23-AR5.zip)","CRF (cze-2023-crf-26apr23_AR5.zip)","CRF (deu-2023-crf-26apr23_AR5.zip)","CRF (dnk-2023-crf-14apr23_AR5.zip)","CRF (esp-2023-crf-14apr23_AR5.zip)","CRF (est-2023-crf-13apr23-AR5.zip)","CRF (fin-2023-crf-12apr23-AR5.zip)","CRF (fra-2023-crf-25apr23_AR5.zip)","CRF (gbr-2023-crf-14apr23_AR5.zip)","CRF (grc-2023-crf-13apr23_AR5.zip)","CRF (hrv-2023-crf-13apr23-AR5.zip)","CRF (hun-2023-crf-15apr23_AR5.zip)","CRF (irl-2023-crf-14apr23_AR5.zip)","CRF (isl-2023-crf-15apr23_AR5.zip)","CRF (ita-2023-crf-12apr23-AR5.zip)","CRF (jpn-2023-crf-20apr23-AR4.zip)","CRF (kaz-2023-crf-15apr23_AR4.zip)","CRF (lie-2023-crf-13apr23-AR5.zip)","CRF (ltu-2023-crf-5apr23-AR5.zip)","CRF (lux-2023-crf-13apr23-AR5.zip)","CRF (lva-2023-crf-12apr23-AR5.zip)","CRF (mco-2023-crf-11apr23-AR5.zip)","CRF (mlt-2023-crf-30mar23_AR5.zip)","CRF (nld-2023-crf-14apr23_AR5.zip)","CRF (nor-2023-crf-15mar23-ar5.zip)","CRF (pol-2023-crf-28mar23-ar5_0.zip)","CRF (prt-2023-crf-3apr23_AR5.zip)","CRF (rou-2023-crf-6apr23-AR5.zip)","CRF (rus-2023-crf-29may23-AR4.zip)","CRF (svk-2023-crf-13apr23_AR5.zip)","CRF (svn-2023-crf-12apr23-AR5.zip)","CRF (swe-2023-crf-6apr23-AR5.zip)","CRF (tur-2023-crf-14apr23_AR4.zip)","CRF (ukr-2023-crf-18may23-AR4.zip)","CRF (usa-2023-crf-14apr23_AR5.zip)","China","pp338-9 of NIR1",,"pp47-48 of NIR3 combined with NIR2010 and NIR2012",,,,"p179-180 of BUR4","Caribbean Cement Company Annual Reports","Korean Cement Association",,,"p184 of NIR2",,,,"pp6-8 of BUR1 annex 2","Thailand_cement_data.xlsx",,"p4-8 of NIR2020","Derived from p63 of NC3",,,,"Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero"
1996,"CRF (aus-2023-crt-13apr23.zip)","CRF (aut-2023-crf-13apr23-AR5.zip)","CRF (bel-2023-crf-14apr23_AR5.zip)","CRF (bgr-2023-crf-12apr23-AR5.zip)","CRF (blr-2023-crf-14apr23_AR4.zip)","CRF (can-2023-crf-14apr23_AR4.zip)","CRF (che-2023-crf-13apr23-AR5.zip)","CRF (cyp-2023-crf-12apr23-AR5.zip)","CRF (cze-2023-crf-26apr23_AR5.zip)","CRF (deu-2023-crf-26apr23_AR5.zip)","CRF (dnk-2023-crf-14apr23_AR5.zip)","CRF (esp-2023-crf-14apr23_AR5.zip)","CRF (est-2023-crf-13apr23-AR5.zip)","CRF (fin-2023-crf-12apr23-AR5.zip)","CRF (fra-2023-crf-25apr23_AR5.zip)","CRF (gbr-2023-crf-14apr23_AR5.zip)","CRF (grc-2023-crf-13apr23_AR5.zip)","CRF (hrv-2023-crf-13apr23-AR5.zip)","CRF (hun-2023-crf-15apr23_AR5.zip)","CRF (irl-2023-crf-14apr23_AR5.zip)","CRF (isl-2023-crf-15apr23_AR5.zip)","CRF (ita-2023-crf-12apr23-AR5.zip)","CRF (jpn-2023-crf-20apr23-AR4.zip)","CRF (kaz-2023-crf-15apr23_AR4.zip)","CRF (lie-2023-crf-13apr23-AR5.zip)","CRF (ltu-2023-crf-5apr23-AR5.zip)","CRF (lux-2023-crf-13apr23-AR5.zip)","CRF (lva-2023-crf-12apr23-AR5.zip)","CRF (mco-2023-crf-11apr23-AR5.zip)","CRF (mlt-2023-crf-30mar23_AR5.zip)","CRF (nld-2023-crf-14apr23_AR5.zip)","CRF (nor-2023-crf-15mar23-ar5.zip)","CRF (pol-2023-crf-28mar23-ar5_0.zip)","CRF (prt-2023-crf-3apr23_AR5.zip)","CRF (rou-2023-crf-6apr23-AR5.zip)","CRF (rus-2023-crf-29may23-AR4.zip)","CRF (svk-2023-crf-13apr23_AR5.zip)","CRF (svn-2023-crf-12apr23-AR5.zip)","CRF (swe-2023-crf-6apr23-AR5.zip)","CRF (tur-2023-crf-14apr23_AR4.zip)","CRF (ukr-2023-crf-18may23-AR4.zip)","CRF (usa-2023-crf-14apr23_AR5.zip)","China","pp338-9 of NIR1",,"pp47-48 of NIR3 combined with NIR2010 and NIR2012",,,,"p179-180 of BUR4","Caribbean Cement Company Annual Reports","Korean Cement Association",,,"p184 of NIR2",,,,"pp6-8 of BUR1 annex 2","Thailand_cement_data.xlsx",,"p4-8 of NIR2020","Derived from p63 of NC3",,,,"Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero"
1997,"CRF (aus-2023-crt-13apr23.zip)","CRF (aut-2023-crf-13apr23-AR5.zip)","CRF (bel-2023-crf-14apr23_AR5.zip)","CRF (bgr-2023-crf-12apr23-AR5.zip)","CRF (blr-2023-crf-14apr23_AR4.zip)","CRF (can-2023-crf-14apr23_AR4.zip)","CRF (che-2023-crf-13apr23-AR5.zip)","CRF (cyp-2023-crf-12apr23-AR5.zip)","CRF (cze-2023-crf-26apr23_AR5.zip)","CRF (deu-2023-crf-26apr23_AR5.zip)","CRF (dnk-2023-crf-14apr23_AR5.zip)","CRF (esp-2023-crf-14apr23_AR5.zip)","CRF (est-2023-crf-13apr23-AR5.zip)","CRF (fin-2023-crf-12apr23-AR5.zip)","CRF (fra-2023-crf-25apr23_AR5.zip)","CRF (gbr-2023-crf-14apr23_AR5.zip)","CRF (grc-2023-crf-13apr23_AR5.zip)","CRF (hrv-2023-crf-13apr23-AR5.zip)","CRF (hun-2023-crf-15apr23_AR5.zip)","CRF (irl-2023-crf-14apr23_AR5.zip)","CRF (isl-2023-crf-15apr23_AR5.zip)","CRF (ita-2023-crf-12apr23-AR5.zip)","CRF (jpn-2023-crf-20apr23-AR4.zip)","CRF (kaz-2023-crf-15apr23_AR4.zip)","CRF (lie-2023-crf-13apr23-AR5.zip)","CRF (ltu-2023-crf-5apr23-AR5.zip)","CRF (lux-2023-crf-13apr23-AR5.zip)","CRF (lva-2023-crf-12apr23-AR5.zip)","CRF (mco-2023-crf-11apr23-AR5.zip)","CRF (mlt-2023-crf-30mar23_AR5.zip)","CRF (nld-2023-crf-14apr23_AR5.zip)","CRF (nor-2023-crf-15mar23-ar5.zip)","CRF (pol-2023-crf-28mar23-ar5_0.zip)","CRF (prt-2023-crf-3apr23_AR5.zip)","CRF (rou-2023-crf-6apr23-AR5.zip)","CRF (rus-2023-crf-29may23-AR4.zip)","CRF (svk-2023-crf-13apr23_AR5.zip)","CRF (svn-2023-crf-12apr23-AR5.zip)","CRF (swe-2023-crf-6apr23-AR5.zip)","CRF (tur-2023-crf-14apr23_AR4.zip)","CRF (ukr-2023-crf-18may23-AR4.zip)","CRF (usa-2023-crf-14apr23_AR5.zip)","China","pp338-9 of NIR1",,"pp47-48 of NIR3 combined with NIR2010 and NIR2012",,,,"p179-180 of BUR4","Caribbean Cement Company Annual Reports","Korean Cement Association",,,"p184 of NIR2",,,,"pp6-8 of BUR1 annex 2","Thailand_cement_data.xlsx",,"p4-8 of NIR2020","Derived from p63 of NC3",,,,"Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero"
1998,"CRF (aus-2023-crt-13apr23.zip)","CRF (aut-2023-crf-13apr23-AR5.zip)","CRF (bel-2023-crf-14apr23_AR5.zip)","CRF (bgr-2023-crf-12apr23-AR5.zip)","CRF (blr-2023-crf-14apr23_AR4.zip)","CRF (can-2023-crf-14apr23_AR4.zip)","CRF (che-2023-crf-13apr23-AR5.zip)","CRF (cyp-2023-crf-12apr23-AR5.zip)","CRF (cze-2023-crf-26apr23_AR5.zip)","CRF (deu-2023-crf-26apr23_AR5.zip)","CRF (dnk-2023-crf-14apr23_AR5.zip)","CRF (esp-2023-crf-14apr23_AR5.zip)","CRF (est-2023-crf-13apr23-AR5.zip)","CRF (fin-2023-crf-12apr23-AR5.zip)","CRF (fra-2023-crf-25apr23_AR5.zip)","CRF (gbr-2023-crf-14apr23_AR5.zip)","CRF (grc-2023-crf-13apr23_AR5.zip)","CRF (hrv-2023-crf-13apr23-AR5.zip)","CRF (hun-2023-crf-15apr23_AR5.zip)","CRF (irl-2023-crf-14apr23_AR5.zip)","CRF (isl-2023-crf-15apr23_AR5.zip)","CRF (ita-2023-crf-12apr23-AR5.zip)","CRF (jpn-2023-crf-20apr23-AR4.zip)","CRF (kaz-2023-crf-15apr23_AR4.zip)","CRF (lie-2023-crf-13apr23-AR5.zip)","CRF (ltu-2023-crf-5apr23-AR5.zip)","CRF (lux-2023-crf-13apr23-AR5.zip)","CRF (lva-2023-crf-12apr23-AR5.zip)","CRF (mco-2023-crf-11apr23-AR5.zip)","CRF (mlt-2023-crf-30mar23_AR5.zip)","CRF (nld-2023-crf-14apr23_AR5.zip)","CRF (nor-2023-crf-15mar23-ar5.zip)","CRF (pol-2023-crf-28mar23-ar5_0.zip)","CRF (prt-2023-crf-3apr23_AR5.zip)","CRF (rou-2023-crf-6apr23-AR5.zip)","CRF (rus-2023-crf-29may23-AR4.zip)","CRF (svk-2023-crf-13apr23_AR5.zip)","CRF (svn-2023-crf-12apr23-AR5.zip)","CRF (swe-2023-crf-6apr23-AR5.zip)","CRF (tur-2023-crf-14apr23_AR4.zip)","CRF (ukr-2023-crf-18may23-AR4.zip)","CRF (usa-2023-crf-14apr23_AR5.zip)","China","pp338-9 of NIR1",,"pp47-48 of NIR3 combined with NIR2010 and NIR2012",,,,"p179-180 of BUR4","Caribbean Cement Company Annual Reports","Korean Cement Association",,,"p184 of NIR2",,,,"pp6-8 of BUR1 annex 2","Thailand_cement_data.xlsx",,"p4-8 of NIR2020","Derived from p63 of NC3",,,,"Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero","Reported to be zero"
