"Year","AFG","ALB","DZA","AND","AGO","AIA","ATA","ATG","ARG","ARM","ABW","AUS","AUT","AZE","BHS","BHR","BGD","BRB","BLR","BEL","BLZ","BEN","BMU","BTN","BES","BIH","BWA","BRA","VGB","BRN","BGR","BFA","BDI","KHM","CAN","CPV","CYM","CAF","TCD","CHL","CHN","CXR","COL","COM","COG","COK","CRI","CIV","HRV","CUB","CUW","CYP","CZE","CSK","PRK","COD","VDR","DNK","DJI","DMA","DOM","East & West Pakistan","ECU","EGY","SLV","GNQ","ERI","EST","ETH","FRO","FLK","DEW","FSM","Federation of Malaya-Singapore","FJI","FIN","YMD","DDR","PCZ","FORMER YEMEN","FRA","French Equatorial Africa","GUF","French Indo-China","PYF","French West Africa","GAB","GMB","GEO","DEU","GHA","GIB","GRC","GRL","GRD","GLP","GTM","GIN","GNB","GUY","HTI","HND","HKG","HUN","ISL","IND","IDN","IRQ","IRL","IRN","ISR","ITA","JAM","JPN","Japan (Excluding The Ruyuku Islands)","JOR","KAZ","KEN","KIR","KSV","KWT","Kuwaiti Oil Fires","KGZ","LAO","LVA","LBN","Leeward Islands","LSO","LBR","LBY","LIE","LTU","LUX","MAC","MKD","MDG","MWI","MYS","MDV","MLI","MLT","MHL","MTQ","MRT","MUS","MEX","MNG","MNE","MSR","MAR","MOZ","MMR","NAM","NRU","NPL","ANT","Netherland Antilles and Aruba","NLD","NCL","NZL","NIC","NER","NGA","NIU","NOR","PSE","OMN","Pacific Islands (Palau)","PAK","PLW","PAN","PNG","PRY","Peninsular Malaysia","PER","PHL","BOL","POL","PRT","PRI","QAT","CMR","KOR","MDA","SSD","Republic of South Vietnam","REPUBLIC OF SUDAN","REU","Rhodesia-Nyasaland","ROU","RUS","RWA","Rwanda-Urundi","Ryukyu Islands","Sabah","SHN","LCA","SXM","WSM","STP","Sarawak","SAU","SEN","SRB","SYC","SLE","SGP","SVK","SVN","SLB","SOM","ZAF","ESP","LKA","KNA","KNA","SPM","VCT","SUDAN","SUR","SWZ","SWE","CHE","SYR","TWN","TJK","Tanganyika","THA","TLS","TGO","TON","TTO","TUN","TUR","TKM","TCA","TUV","UGA","UKR","ARE","GBR","United Korea","TZA","USA","URY","SUN","UZB","VUT","VEN","VNM","WLF","YEMEN","YUG","SCG","ZMB","Zanzibar","ZWE"
1968,95.297913,301.454820,867.952934,,308.131650,,,0,4176.252146,352.087738,0,3926.265222,4551.626647,710.695619,683.787763,0,19.846838,0,2040.719245,5742.346701,0,0,0,0,0,102.930801,,7278.686280,0,0,3514.305561,0,0,58.820453,7404.113939,7.352557,0,0,0,1235.442957,12620,,2367.196939,0,0,,132.346019,330.865047,1346.712862,779.370999,0,235.281811,4379.316061,,2691.035714,294.102264,,2279.292544,0,0,323.512490,,433.800839,3146.894223,154.403688,0,,534.651750,176.461358,0,,,,,51.467896,1477.701223,,,0,,25388.377923,,0,,0,,0,0,443.475788,40990.655501,227.929254,0,4080.668910,0,0,0,176.461358,0,0,0,44.115340,132.346019,374.980386,2801.492048,102.699701,11940.551910,411.743169,1397.245609,1353.148839,1941.074941,1102.590714,29461.694276,411.743169,47673.666209,,477.916179,5672.524662,543.382579,0,,0,,978.021493,0,352.087738,905.261648,,,51.467896,0,,1329.889051,191.109356,0,329.945116,66.173009,58.270729,933.774688,,0,0,,0,0,0,6124.679644,73.525566,0,0,992.595140,286.749707,176.461358,,0,0,,,3433.643930,0,764.458040,102.935792,22.057670,573.499414,,2293.997658,,0,0,2426.946894,,162.050347,0,22.057670,,1110.236046,2566.042252,73.649555,11602.488419,1860.196819,,0,0,3573.342505,1097.758165,0,,148.349980,0,,7029.044105,53094.158576,0,,249.986924,,0,0,0,0,0,,507.262494,198.519028,1491.749800,0,44.115340,565.764068,2234.391649,549.026315,0,0,4411.651114,14955.664586,220.576698,,0,0,0,,0,0,3911.560109,4323.303278,919.069574,3993.043880,352.087738,,2367.523224,,0,0,213.224141,506.809779,4727.216539,978.133152,,,154.403688,14344.682963,0,17874.173069,,154.062087,68791,514.678962,87510.128594,5229.154918,0,2441.185176,639.672424,,0,,,337.946596,,338.217603
1969,102.935792,330.865047,948.171452,,382.836675,,,0,4345.360948,361.758508,0,4308.598165,4558.959142,730.216247,816.133782,0,22.523348,0,2096.771544,6271.544737,0,0,0,0,0,110.969380,,7823.120217,0,0,3551.284835,0,0,58.981164,7484.902614,14.705113,0,0,0,1433.748536,18290,,2389.580893,0,0,0,161.756245,389.685500,1336.082630,779.370999,0,242.634368,4554.668227,,2801.163923,323.512490,,2610.157591,0,0,389.148002,,456.324146,3610.777561,139.698575,0,,549.336993,169.481288,0,,,,,51.035393,1794.023809,,,0,,27542.677005,,0,,0,,0,0,455.656707,42490.424563,403.515308,0,4837.982240,0,0,0,220.576698,0,0,0,51.467896,132.346019,374.980386,2566.042252,95.583236,13256.914428,536.795581,1382.280640,1271.992291,2345.465554,1308.431285,31343.948765,411.390045,51386.729897,,477.916179,5828.331516,640.422333,0,,0,,1004.884744,0,361.758508,1249.934621,,,73.525566,66.173009,,1366.417024,205.871585,0,348.386047,73.525566,74.239406,970.537471,,0,0,,0,0,0,6786.166453,73.525566,0,0,1161.703942,301.454820,183.813915,,0,0,,,3293.945355,0,801.428669,110.288349,22.057670,566.146858,,2492.516686,,0,0,2653.115947,,176.461358,0,36.762783,,1139.373238,2948.375195,80.761918,11830.115833,2037.169386,,51.467896,0,4830.629683,1143.411175,0,,170.663789,0,,7514.559648,54431.038659,0,,257.339481,,,0,0,0,0,,588.204528,205.871585,1598.331204,0,44.115340,624.967311,2295.104564,567.790345,0,0,5102.674277,16314.705571,279.397151,,0,0,0,,0,0,3955.675448,4536.090795,933.774688,4088.590908,361.758508,,2404.286007,,0,0,242.634368,602.337077,5793.267184,1004.999470,,,176.461358,14727.650327,0,17418.105005,,169.108802,71086,462.907718,89796.773695,5372.783765,0,2139.480264,742.608216,,0,,,330.865047,,382.332943
1970,95.793309,360.628484,926.422131,,448.047357,,,0,4742.399004,384.206755,0,4507.005234,4808.919881,775.528451,830.838895,0,22.018677,0,2226.882780,6727.589284,0,0,0,0,0,123.649780,,9002.431000,0,0,3668.706058,0,0,36.762783,7205.505463,14.705113,0,0,0,2044.314676,25750,0,2793.971506,0,0,0,183.813915,397.038056,1460.373925,742.608216,0,264.692037,5013.025379,,4007.143344,419.095726,,2602.958738,0,0,492.621292,,330.865047,3683.008093,161.756245,0,,583.425073,183.813915,0,0,,,,58.820453,1875.072145,,,0,,29006.078050,,0,,0,,0,0,483.931632,46306.401436,441.153396,0,4845.334796,0,0,0,220.576698,0,0,0,58.820453,154.403688,426.448283,2771.913836,87.998493,13543.409248,551.441745,1360.222970,860.249122,2573.394808,1382.586454,33071.799565,441.477535,57188.185196,,374.980386,6189.997727,794.076112,0,,0,,1067.240987,0,384.206755,1336.923960,,,88.230679,95.583236,,1451.207477,242.634368,0,386.257283,73.525566,66.173009,1029.099485,,0,0,,0,0,0,7183.447793,95.583236,0,0,1404.338310,397.038056,168.974588,,0,0,,,3830.583020,0,830.838895,124.993462,29.410226,588.204528,0,2610.499324,,0,0,2542.890151,,242.634368,0,88.230679,,1132.527226,2448.401346,117.640906,12175.980381,2331.320720,,257.339481,29.410226,5823.621879,1230.783474,0,,155.892683,0,,8124.327004,57680,0,,256.845547,,,0,0,0,0,,676.380444,242.634368,1785.235025,0,29.410226,727.903103,2511.980037,626.191603,0,0,5749.699257,16697.132393,323.512490,,0,0,0,,0,0,4073.316354,4794.303182,963.715594,4300.697539,384.206755,,2624.862704,,0,0,272.155497,544.622609,6374.666568,1067.362832,,,191.166471,15629.855620,0,17057.931301,,169.108802,67427,499.973848,95245.018132,5706.181812,0,2646.790202,786.723556,,0,,,176.461358,,477.916179
1971,88.230679,360.275273,963.184914,,528.815456,,,0,5529.122559,406.607501,0,4683.578551,5491.973643,820.744771,830.838895,0,23.304422,0,2356.718693,6933.460869,0,0,0,0,0,137.311125,,9802.639000,0,0,3882.149882,0,0,58.820453,8227.510830,7.352557,0,0,0,1367.760634,31580,0,2845.783512,0,0,0,213.224141,499.973848,1707.533002,749.960773,0,301.454820,5399.651729,,4808.572013,455.858509,,2735.151053,0,0,595.557084,,367.308985,3918.289230,183.813915,0,,617.441020,213.224141,0,0,,,,81.420929,1838.139149,,,0,,28947.015315,,0,,0,,0,0,512.146725,49482.531160,529.384075,0,5536.475116,0,0,0,227.929254,0,0,0,73.525566,161.756245,514.885081,2713.093384,117.640906,14896.014329,485.268735,1852.373579,1499.921545,2852.791959,1404.338310,31799.807274,426.448283,59430.441704,,419.095726,6550.898629,794.076112,0,,0,,1129.465281,0,406.607501,1499.921545,,,88.230679,73.525566,,1535.818507,264.692037,0,436.979896,73.263909,66.173009,1095.530933,0,0,0,,0,0,0,7359.909152,95.698814,0,0,1477.203525,419.095726,198.519028,,0,0,,,4043.906127,0,823.285879,117.640906,29.410226,661.805273,0,2742.873419,,0,0,2644.801075,,279.397151,0,58.820453,,1448.453649,3117.483996,124.843948,13080.198183,2455.753903,,257.339481,139.698575,6874.640416,1315.394777,0,,192.944986,0,,8521.364759,60626.028200,0,,257.047713,,,0,0,0,0,,705.845433,242.634368,1982.694839,0,0,610.397092,2674.363339,716.326832,0,0,5852.635050,17160.867093,382.332943,,0,0,0,,51.467896,0,3948.322892,5220.315182,911.717018,5043.853824,406.607501,,2779.795979,,0,0,257.339481,580.346882,7543.723067,1129.594230,,,205.871585,16472.687035,0,17697.603724,,176.461358,71054,455.858509,100325.634739,6038.874368,0,2801.159878,764.665886,,0,,,470.108971,,558.560006
1972,95.583236,397.038056,926.422131,,624.459207,,,0,5448.244437,424.680563,0,4933.680354,6345.256342,857.225580,985.242584,0,22.057670,0,2461.471118,7088.063220,0,0,0,0,0,160.167322,0,11381.431000,0,0,3911.560109,0,0,51.467896,9050.910088,7.352557,0,0,0,1382.460460,35470,0,3050.955605,0,0,0,264.692037,602.909641,1969.239334,1470.252107,0,419.095726,5472.354104,,5264.430522,477.916179,,2874.849629,0,0,676.435207,,485.268735,3822.779943,220.576698,0,,644.885299,191.166471,0,0,,,,88.230679,1985.190281,,,0,,29910.200229,,0,,0,,0,0,534.910839,52004.449959,411.743169,0,6279.083332,0,0,0,264.692037,0,0,0,80.878123,191.166471,411.580618,2970.275989,132.020043,15756.794013,595.557084,1904.075891,1470.511319,3374.706859,1544.036885,33461.485064,419.095726,66290.650261,,661.730094,6842.075731,801.428669,0,,0,,1179.668230,0,424.680563,1682.658214,,,88.230679,58.820453,,1604.083215,308.807377,0,513.389687,66.173009,74.022360,1161.941801,0,0,0,,0,0,0,8602.491216,139.698575,0,0,1544.740639,470.563622,198.519028,,0,0,,,4021.848457,0,897.011905,117.640906,29.410226,1139.545401,0,2727.798497,,0,0,2602.805035,,272.044594,0,73.525566,,1624.915008,2904.259855,147.051132,13984.562644,2779.266393,,102.935792,169.108802,6484.560814,1387.159822,0,,163.332090,0,,9212.753414,62889.351266,0,,257.339481,,,0,0,0,0,,963.134706,338.217603,2287.636824,0,0,1007.300254,2680.683610,836.424523,0,0,6109.844062,19572.010776,382.332943,,0,0,0,,58.820453,0,3874.797326,5712.936474,1007.776068,5867.939115,424.680563,,3374.823477,,117.640906,0,286.749707,625.451406,8425.456190,1179.802910,,,169.108802,17134.046803,0,18043.275914,,235.281811,74931,463.211065,104296.015301,6307.292800,0,2984.963060,499.973848,,0,,,485.268735,,624.967311
1973,139.386748,514.678962,1007.300254,,772.018442,,,0,5183.552400,447.927590,0,5249.725409,6257.025662,904.150135,955.832357,0,29.410226,0,2596.212124,7043.563230,0,0,0,0,0,195.322546,0,13397.576000,0,0,4176.029650,0,0,80.878123,10095.060205,14.705113,0,0,0,1374.928083,37310,0,3220.419789,0,0,0,272.044594,661.730094,1782.379159,1499.676019,0,448.505952,5720.932417,,5808.519710,536.736631,,2889.554742,0,0,580.851971,,485.268735,3617.457845,242.634368,0,,680.186340,124.993462,0,0,,,,88.230679,2095.478630,,,0,,30711.628898,,0,,0,,0,0,564.191875,50563.531704,433.800839,0,6492.307473,0,0,0,308.807377,0,0,0,110.288349,235.281811,441.153396,3404.233704,132.069722,15006.568010,727.903103,1816.081479,1573.447111,3492.464383,1257.525979,36306.548716,404.390613,78113.874063,,617.614754,7216.611170,794.819629,0,,0,,1244.243305,0,447.927590,1661.677790,,,88.230679,80.898459,,1691.890781,360.182058,0,561.561061,73.275479,87.668700,1279.344848,0,44.115340,0,,0,0,0,9786.252828,147.051132,0,0,1617.562451,610.262197,191.166471,,0,0,,,4073.316354,51.467896,1058.554903,191.166471,73.525566,1220.434126,0,2727.798497,,0,0,2874.323581,,433.800839,0,73.525566,,2360.170667,4058.611240,169.108802,15550.657199,3301.297911,,102.935792,190.389372,8176.453131,1476.988459,0,,207.791605,0,,9845.073281,65881.119475,0,,,,,0,0,0,0,,963.184914,294.102264,2760.547572,0,0,1029.357923,2760.614441,854.853196,0,0,6860.080266,22366.477162,418.679543,,0,0,0,,58.820453,0,4213.014929,5757.051814,845.151462,6095.269417,447.927590,,3705.688524,,117.640906,0,249.986924,522.031518,8948.061376,1244.385358,,,139.698575,17997.956817,0,19984.248825,,316.159934,77576,515.005950,109494.272813,6652.554205,0,3411.586260,764.665886,,14.705113,,,411.414563,,676.435207
1974,147.332839,559.266256,941.127244,,756.743921,,,0,5389.423984,473.215452,0,5205.610069,6433.487021,955.194153,794.076112,0,88.300152,0,2742.781918,7470.400088,0,0,0,0,0,201.915794,0,14919.644000,0,0,4293.893052,0,0,51.467896,10374.359803,0,0,0,0,1426.194483,37090,0,3484.761528,0,0,0,294.102264,632.319867,1890.217404,1816.081479,0,338.217603,6134.137199,,5984.981068,624.967311,,2492.516686,0,0,602.909641,,581.201882,3264.993437,294.102264,0,,718.586427,117.640906,0,0,,,,80.878123,2205.766979,,,0,,32336.781504,,0,,0,,0,0,596.043466,46070.960934,522.031518,0,7020.980707,0,0,0,308.807377,0,0,0,139.698575,213.224141,573.499414,3433.643930,154.403688,14286.017464,830.838895,1816.081479,1536.684328,4521.822306,1794.362177,36306.924466,404.195632,73106.470225,,595.557084,7624.026729,852.896565,0,,227.972505,,1314.487367,0,473.215452,1742.555913,,,88.230679,485.268735,,1787.406891,367.627830,0,588.163203,58.820453,88.230679,1367.575527,0,44.115340,0,,0,0,0,10595.034053,169.108802,0,0,1911.664715,463.211065,169.108802,,0,36.762783,,,4088.021467,66.173009,1110.019033,235.281811,22.057670,1205.748301,0,2639.567818,,0,0,3470.406713,,397.038056,0,102.935792,,1904.639135,3499.816939,205.871585,16764.006257,3390.128719,,124.993462,213.224141,8845.125584,1574.916414,0,,304.032615,0,,11190.591138,69128.610922,0,,,,,0,0,0,0,,1058.768150,330.865047,2849.841222,0,0,1051.415593,2923.005293,899.540423,0,0,7301.088699,22234.131143,469.976152,,0,0,0,,44.115340,0,3308.802345,5249.725409,963.184914,6168.794983,473.215452,,3918.320058,,132.346019,0,242.634368,536.736631,8933.356263,1314.637440,,,154.403688,18936.572405,0,17785.834403,,294.102264,73688,544.089188,115141.036278,7028.125789,0,3492.634847,698.358680,,58.820453,,,441.153396,,757.313329
1975,146.798032,647.024980,948.371229,,654.377537,,,0,5462.949550,503.939429,0,5014.443598,5632.058352,1017.211071,382.332943,0,169.108802,0,2920.859724,6881.992973,0,0,0,0,0,211.254683,0,16737.458000,0,0,4360.066061,0,0,51.467896,9962.806177,0,0,0,0,1014.491164,46260,0,3088.073770,0,0,0,330.865047,0,2072.135457,2080.773516,0,610.262197,6378.291701,,6984.928765,624.967311,,2235.177205,0,0,587.864525,,595.557084,3580.695062,330.865047,0,,765.241356,147.051132,0,0,,,,73.960628,2066.232755,,,0,,29586.687738,,0,,0,,0,0,634.742172,44152.102353,669.082650,0,7940.012136,0,0,0,389.685500,0,0,0,154.403688,294.102264,573.690326,3757.156420,161.756245,16234.681013,1073.473263,2382.228337,1558.741998,5367.366314,2190.653009,34233.503507,404.390613,65511.555366,,573.499414,8119.024141,897.011905,0,,286.749707,,1399.831748,0,503.939429,1654.325234,,,88.230679,617.614754,,1903.456036,345.570160,0,625.310258,58.820453,102.935792,1448.453649,0,51.467896,0,,0,0,0,11609.945714,161.756245,0,0,2028.636103,279.397151,183.667099,,0,7.352557,,,3705.688524,58.820453,1073.473263,176.461358,14.705113,1367.575527,0,2713.093384,,0,0,3117.483996,,279.397151,0,139.698575,,1904.312158,4264.482825,264.453146,18499.032393,3448.349043,,161.756245,235.281811,10131.822988,1692.515365,0,,215.077690,0,,11521.456184,73119,0,,,,,0,0,0,0,,1124.941159,360.275273,2989.790881,0,0,1323.460187,3012.115116,967.483726,0,0,7175.953153,24094.814382,389.685500,,0,0,0,,29.410226,0,3117.625443,3764.508977,992.595140,6793.762294,503.939429,,3977.135592,,0,0,257.339481,617.614754,10690.617289,1399.991565,,,95.583236,20084.314263,0,16888.822499,,265.117587,61815,639.672424,122052.439478,7484.433748,0,3499.816939,698.375404,,58.820453,,,448.505952,,669.082650
1976,169.108802,699.010662,1396.854986,,301.454820,,,0,5713.146424,509.065226,0,5058.558937,5882.414542,1027.557586,272.044594,0,154.505404,0,2950.569115,7506.960284,0,0,0,0,0,232.125956,0,19146.794000,0,0,4359.847402,0,0,51.467896,9624.496583,0,0,0,0,963.331473,46700,0,3609.757762,0,0,0,360.275273,0,2157.537213,2499.869242,0,1022.005367,6560.745157,,6984.928765,654.377537,,2352.818110,0,0,653.998846,,609.986435,3360.475595,323.512490,0,,773.024973,147.051132,0,0,,,,66.173009,1823.564439,,,0,,29395.308071,,0,,0,,110.288349,0,641.198423,46762.573673,654.377537,0,8742.189792,0,0,0,448.505952,0,0,0,242.634368,257.339481,764.890128,4301.442741,147.051132,18697.551421,1801.483241,2727.798497,1566.094555,6102.621974,1999.895394,36328.982136,367.442813,68709.641381,,536.736631,8201.606422,985.242584,0,,330.930734,,1414.070073,0,509.065226,1705.793130,,,102.935792,1500.228592,,1922.816952,301.454820,0,674.086889,73.797883,88.230679,1742.823381,0,51.467896,0,,0,0,0,12580.224334,161.891042,0,0,2323.407884,213.530058,235.281811,,0,29.410226,,,3477.759269,51.467896,999.947697,227.929254,36.762783,1271.992291,0,2683.683157,,0,0,3139.541666,,279.397151,0,154.403688,,1963.132611,4499.764636,220.400236,19800.434910,3713.041080,,169.168536,301.454820,11874.378901,1746.273501,0,,133.599794,0,,13087.276137,74602.127353,0,,,,,0,0,0,0,,1102.923316,382.332943,3269.598721,0,0,1352.870413,3074.543704,1029.560400,0,0,7051.101775,25197.211451,426.448283,,0,0,0,,51.467896,0,2867.497072,3543.932279,1109.940220,8756.894905,509.065226,,4463.001853,,0,0,235.281811,478.216001,12344.942523,1414.231515,,,88.230679,20454.915872,198.500670,15778.586453,,242.634368,66179,676.435207,124236.148787,7560.561323,0,3536.353584,742.608216,,58.820453,,,382.332943,,536.736631
1977,139.698575,749.480337,1779.318696,,301.454820,,,0,5999.467908,516.625425,0,5021.894219,5632.058352,1042.817987,73.525566,0,308.807377,0,2994.388429,7764.074823,0,0,0,0,0,249.151399,0,21122.927000,0,0,4661.520881,0,0,51.467896,9639.201696,0,0,0,0,1124.941159,55650,0,3294.252311,0,0,0,404.390613,0,2189.563801,2654.272931,0,1074.949842,6719.659123,,6999.633878,492.621292,,2308.702771,0,0,860.249122,,624.967311,3257.182572,374.980386,0,,784.505275,73.525566,0,0,,,,73.525566,1713.145687,,,0,,28829.374409,,0,,0,,191.166471,0,650.720950,45505.130925,611.008239,0,10580.328940,0,0,0,492.621292,0,0,0,242.634368,249.986924,1029.357923,4617.202051,139.698575,19057.826694,2654.272931,3168.951892,1580.799668,7256.811069,1963.132611,38204.277399,330.865047,73135.593684,,566.146858,8323.409625,1146.998829,0,,330.794605,,1435.070625,0,516.625425,1360.222970,,,102.935792,2499.869242,,1951.372975,294.102264,0,711.890617,51.467896,95.583236,1779.318696,0,36.762783,0,,0,0,0,13226.997803,102.935792,0,0,2868.325110,323.512490,272.044594,,0,44.115340,,,3896.941983,51.467896,911.552359,227.929254,36.762783,1440.892116,0,2316.328705,,0,0,3161.599336,,272.044594,0,198.519028,,1926.067225,4198.309816,264.692037,21300.356456,4294.585950,,169.108802,360.275273,14197.786785,1809.864357,0,,148.418371,0,,13874.274295,76471.993442,0,,,,,0,0,0,0,,1264.639734,330.865047,3479.344378,0,0,1352.870413,3101.633936,1070.819431,0,0,6573.185596,27991.182957,352.479903,,0,0,0,,44.115340,0,2617.510148,3646.868071,1396.636507,10338.313745,516.625425,,5109.444229,,0,0,213.272491,573.499414,13830.158955,1435.234464,,,80.878123,20930.079284,198.537799,15454.980249,,257.339481,70939,683.787763,127052.177962,7672.844275,0,3139.722318,845.544008,,58.820453,,,397.038056,,492.621292
1978,125.206036,801.881453,2698.388270,,397.038056,,,0,6315.846115,512.231433,0,4992.385928,5882.420526,1033.948633,330.865047,0,338.217603,0,2968.920617,7573.133293,0,0,0,0,0,281.634380,0,23202.867000,0,0,5146.789617,0,0,7.352557,10315.545950,14.705113,0,0,0,1176.409055,65240,0,4154.194476,0,0,0,492.621292,0,2224.821417,2712.769239,0,1110.236046,7033.432141,,6999.633878,470.563622,,2625.020202,0,0,867.601678,,830.546758,2999.843091,455.858509,0,,777.832917,88.230679,0,0,,,,80.878123,1705.793130,,,0,,28020.796308,,0,,0,,14.712248,0,645.186452,47821.190179,500.591863,0,11278.821817,0,0,0,514.678962,0,0,0,249.986924,272.044594,1235.229508,4764.456674,132.346019,19557.800543,3690.983411,4603.099311,1808.728922,11999.372363,1992.542837,38233.294294,294.102264,84877.568991,,566.146858,8252.617531,1124.166939,0,,624.967311,,1422.865092,0,512.231433,1382.280640,,,132.346019,3198.362119,,1934.776197,308.807377,0,770.547858,66.173009,103.501374,2198.414422,0,36.762783,0,,0,0,0,14058.088210,169.108802,0,0,2815.239709,323.512490,257.339481,,0,36.358796,,,3918.912665,58.820453,801.591893,198.519028,44.115340,1536.684328,0,2235.177205,,0,0,3102.778883,,301.454820,0,169.108802,,2022.283232,4337.583970,257.339481,21697.394512,5117.379390,,205.943292,352.922717,15131.561473,1832.387098,0,,192.776024,0,,14690.685899,76588.770690,0,,,,,0,0,0,0,,1801.376366,360.275273,3909.919306,0,0,1352.870413,3247.330027,1130.349842,0,0,6823.172520,30234.265700,573.499414,,0,0,0,,58.820453,0,2352.818110,3698.014764,1433.748536,11462.635732,512.231433,,5087.437172,,0,0,220.576698,882.306791,15344.785614,1423.027538,,,80.878123,20924.629750,1242.582065,15918.188559,,227.550634,76190,683.787763,126949.242170,7607.585356,0,3426.291373,845.544008,,66.173009,,,124.993462,,411.580810
1979,139.698575,845.135533,3771.861533,,397.038056,,,0,6668.768832,492.507309,0,5242.372852,5610.000682,994.135123,448.505952,0,323.512490,0,2854.598544,7705.479312,0,0,0,0,0,299.272780,0,24873.654000,0,0,5403.878744,0,0,0,11764.090552,0,0,0,0,1352.870413,73900,0,4257.481633,0,0,0,529.384075,0,2257.307131,2610.459448,0,1132.293716,7088.095527,,7999.581575,448.505952,,2411.638563,0,0,889.659348,,1095.530933,2955.727751,588.204528,0,,747.881469,95.583236,0,0,,,,95.583236,1749.790376,,,0,,28821.822120,,0,,0,,88.230679,0,620.342725,49306.405821,272.044594,0,12094.955599,0,0,0,573.499414,0,0,0,235.281811,227.929254,1279.344848,4860.039909,124.993462,18263.750582,4698.102501,5102.674277,2066.345059,7541.452055,1919.352120,39284.709887,227.831389,87796.878301,,624.967311,7934.839971,852.276277,0,,1036.495350,,1368.075857,0,492.507309,2124.888856,,,139.698575,3197.911645,,1860.275173,316.159934,0,806.562035,73.525566,102.347588,2264.587431,0,29.410226,0,,0,0,0,15175.676812,183.813915,0,0,3279.993916,272.044594,389.685500,,0,22.057670,,,3698.335967,58.820453,749.960773,88.230679,36.762783,1742.555913,0,2198.414422,,0,0,3418.938817,,507.326405,0,154.403688,,2396.933450,3948.322892,250.180562,19175.467600,5139.437060,,235.341909,492.621292,16410.906320,1798.854953,0,,185.400712,0,,15594.772538,74388.805533,0,,,,,0,0,0,0,,2198.414422,382.332943,4136.725322,0,0,1353.007761,3233.580088,1167.904124,0,0,6896.698086,27909.802517,595.557084,,0,0,0,,58.820453,0,2389.580893,3933.256399,1845.191625,11896.436571,492.507309,,5257.077965,,0,0,213.270901,1382.280640,13778.691059,1368.232048,,,51.467896,20287.415487,1272.119720,16138.953496,,279.397151,76649,683.787763,123015.624392,7314.645583,0,3977.733118,727.903103,,88.230679,,,198.721186,,397.038056
1980,51.575345,999.947697,4154.194476,,242.800898,,,0,7131.979897,496.716073,0,5389.334457,5455.214547,1002.630591,470.563622,0,338.055311,0,2878.992765,7477.752723,0,286.749707,0,0,0,309.456675,0,27192.803000,0,0,5359.760113,0,0,0,10499.363954,0,0,0,0,1580.570267,79860,0,4353.073381,0,36.762783,0,551.441745,1301.402517,2290.810510,2830.734289,0,1235.229508,7308.802075,,7999.581575,441.153396,,1918.900713,0,0,1014.652810,,1389.633196,3029.253317,522.031518,0,,754.272555,110.288349,0,0,,,,80.878123,1815.967152,,,,,29101.419003,,0,,0,,110.288349,0,625.643918,46622.561369,294.524218,0,12675.807570,0,0,183.813915,566.146858,0,0,0,242.634368,448.505952,1485.216432,4661.520881,124.993462,17697.603724,5823.224823,5499.269700,1867.288581,7849.041096,1838.139149,41769.874016,147.051132,87951.281990,,911.717018,8002.647839,1271.240078,0,,1308.755074,,1379.766869,0,496.716073,1485.216432,,,102.935792,3197.926256,,1876.172317,323.512490,0,840.081830,58.954136,88.230679,2345.772793,0,22.057670,0,,176.461358,0,0,16242.019380,176.461358,0,0,3551.284835,235.013224,389.944255,,0,29.610296,,,3742.528621,58.820453,720.550546,154.403688,44.115340,1999.895394,0,2205.554436,,0,0,3338.060694,,566.146858,0,176.461358,,2169.004196,4477.706966,293.871414,18440.211940,5748.918048,,205.929236,507.326405,15609.477651,1852.158665,0,,185.423729,0,,15609.768781,75792,0,,,,,0,0,0,0,,2911.612412,389.685500,4230.037323,0,0,1955.780054,3289.241124,1202.797050,0,0,7198.152907,28005.888071,573.499414,,0,0,0,,66.070891,0,2448.276236,4250.162168,1992.542837,14058.088210,496.716073,,5337.956088,,301.454820,0,183.774128,1779.318696,12874.326598,1379.924394,,,7.352557,20633.418354,1720.327305,14808.048982,,302.042452,68242,808.781225,125044.930012,7377.153526,0,4845.334796,639.672424,,80.878123,,,161.756245,,470.563622
