"ISO","UN code","Name",1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"ABW",533,"ARUBA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero"
"AUS",36,"AUSTRALIA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","interpolated"
"AUT",40,"AUSTRIA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","interpolated"
"AZE",31,"AZERBAIJAN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated",,,,"interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","official","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","official","interpolated","interpolated","interpolated","interpolated","official","interpolated","interpolated","interpolated","interpolated","official","official","official","official","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated"
"BHS",44,"BAHAMAS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","GNR_CR","GNR_CR","GNR_CR","GNR_CR","GNR_CR","GNR_CR","GNR_CR","GNR_CR","GNR_CR","GNR_CR","GNR_CR","GNR_CR","GNR_CR","GNR_CR","GNR_CR","GNR_CR","GNR_CR","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero"
"BHR",48,"BAHRAIN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","GNR_CR","GNR_CR","GNR_CR","GNR_CR","GNR_CR","GNR_CR","GNR_CR","GNR_CR","GNR_CR","GNR_CR","GNR_CR","GNR_CR","GNR_CR","GNR_CR","GNR_CR","GNR_CR","GNR_CR","GNR_CR","GNR_CR","GNR_CR","GNR_CR","GNR_CR","GNR_CR","GNR_CR","GNR_CR","GNR_CR","GNR_CR","GNR_CR","GNR_CR","GNR_CR","GNR_CR","GNR_CR","GNR_CR","GNR_CR","GNR_CR"
"BGD",50,"BANGLADESH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","official","official","official","official","official","official","official","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated"
"BRB",52,"BARBADOS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated",,,,,"interpolated",,,,,,,,"interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","official","official","official","official","official","official","official","official","official","official","official","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated"
"BLR",112,"BELARUS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated",,,,"interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","interpolated"
"BEL",56,"BELGIUM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","CRF","interpolated"
"BLZ",84,"BELIZE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero"
"BEN",204,"BENIN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","official","official","official","official","official","official","official","official","official","official","official","official","official","official","official","official","official","official","official","official","official","official","official","official","official","official","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated"
"BMU",60,"BERMUDA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero"
"BTN",64,"BHUTAN","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","official","official","official","official","official","interpolated","interpolated"
"BES",535,"BONAIRE, SAINT EUSTATIUS, AND SABA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero"
"BIH",70,"BOSNIA & HERZEGOVINA",,,,,,"interpolated",,,,,"interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated",,,,,,"interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated",,,"interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","official","official","official","official","official","official","official","official","official","official","official","official","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated"
"BWA",72,"BOTSWANA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero","Zero",,,,,,,,,,,,,,,,,,,,"GNR_CR","GNR_CR","GNR_CR","GNR_CR","GNR_CR","GNR_CR","GNR_CR","GNR_CR","GNR_CR","GNR_CR","Zero","Zero","Zero","Zero"
"BRA",76,"BRAZIL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","interpolated","clinker","clinker","clinker","clinker","clinker","clinker","clinker","clinker","clinker","clinker","clinker","clinker","clinker","clinker","clinker","clinker","clinker","clinker","clinker","clinker","official","official","official","official","official","official","official","official","official","official","official","official","official","official","official","official","official","official","official","official","official","official","official","official","official","official","official","clinker","clinker","clinker","clinker","clinker","interpolated"
